,track,artist,week,value
37,This I Promise You,N'Sync,Peak_Time,63 days 00:00:00.000000000
38,No More,Ruff Endz,Peak_Time,63 days 00:00:00.000000000
39,Show Me The Meaning Of Being Lonely,"Backstreet Boys, The",Peak_Time,77 days 00:00:00.000000000
40,Absolutely (Story Of A Girl),Nine Days,Peak_Time,77 days 00:00:00.000000000
41,That's The Way It Is,"Dion, Celine",Peak_Time,112 days 00:00:00.000000000
42,All The Small Things,Blink-182,Peak_Time,77 days 00:00:00.000000000
43,Blue (Da Ba Dee),Eiffel 65,Peak_Time,49 days 00:00:00.000000000
44,Bag Lady,"Badu, Erkyah",Peak_Time,49 days 00:00:00.000000000
45,There U Go,Pink,Peak_Time,35 days 00:00:00.000000000
46,Higher,Creed,Peak_Time,315 days 00:00:00.000000000
47,(Hot S**t) Country Grammar,Nelly,Peak_Time,140 days 00:00:00.000000000
48,Wifey,Next,Peak_Time,105 days 00:00:00.000000000
49,Auld Lang Syne (The Millenium Mix),Kenny G,Peak_Time,14 days 00:00:00.000000000
50,It Feels So Good,Sonique,Peak_Time,91 days 00:00:00.000000000
51,Oops!.. I Did It Again,"Spears, Britney",Peak_Time,49 days 00:00:00.000000000
52,Shape Of My Heart,"Backstreet Boys, The",Peak_Time,49 days 00:00:00.000000000
53,Wonderful,Everclear,Peak_Time,84 days 00:00:00.000000000
54,Between Me And You,Ja Rule,Peak_Time,63 days 00:00:00.000000000
55,I Need You,"Rimes, LeAnn",Peak_Time,77 days 00:00:00.000000000
56,Then The Morning Comes,Smash Mouth,Peak_Time,91 days 00:00:00.000000000
57,I Just Wanna Love U (Give It 2 Me),Jay-Z,Peak_Time,63 days 00:00:00.000000000
58,Let's Get Married,Jagged Edge,Peak_Time,84 days 00:00:00.000000000
59,Take A Picture,Filter,Peak_Time,70 days 00:00:00.000000000
60,She Bangs,"Martin, Ricky",Peak_Time,56 days 00:00:00.000000000
61,Shake Ya Ass,Mystikal,Peak_Time,77 days 00:00:00.000000000
62,Back Here,BBMak,Peak_Time,91 days 00:00:00.000000000
63,From The Bottom Of My Broken Heart,"Spears, Britney",Peak_Time,28 days 00:00:00.000000000
64,Never Let You Go,Third Eye Blind,Peak_Time,70 days 00:00:00.000000000
65,Otherside,Red Hot Chili Peppers,Peak_Time,105 days 00:00:00.000000000
66,Liar,Profyle,Peak_Time,42 days 00:00:00.000000000
67,Pinch Me,Barenaked Ladies,Peak_Time,77 days 00:00:00.000000000
68,He Can't Love U,Jagged Edge,Peak_Time,28 days 00:00:00.000000000
69,Wobble Wobble,504 Boyz,Peak_Time,21 days 00:00:00.000000000
70,Desert Rose,Sting,Peak_Time,105 days 00:00:00.000000000
71,Big Pimpin',Jay-Z,Peak_Time,77 days 00:00:00.000000000
72,Only God Knows Why,Kid Rock,Peak_Time,56 days 00:00:00.000000000
73,Learn To Fly,Foo Fighters,Peak_Time,98 days 00:00:00.000000000
74,Goodbye Earl,"Dixie Chicks, The",Peak_Time,49 days 00:00:00.000000000
75,Dancin',Guy,Peak_Time,14 days 00:00:00.000000000
76,Bounce With Me,Lil Bow Wow,Peak_Time,28 days 00:00:00.000000000
77,Swear It Again,Westlife,Peak_Time,91 days 00:00:00.000000000
78,Meet Virginia,Train,Peak_Time,105 days 00:00:00.000000000
79,I Wish,"Thomas, Carl",Peak_Time,49 days 00:00:00.000000000
80,This Time Around,Hanson,Peak_Time,14 days 00:00:00.000000000
81,I Think I'm In Love With You,"Simpson, Jessica",Peak_Time,42 days 00:00:00.000000000
82,What's Your Fantasy,Ludacris,Peak_Time,77 days 00:00:00.000000000
83,Callin' Me,Lil' Zane,Peak_Time,35 days 00:00:00.000000000
84,Don't Say You Love Me,M2M,Peak_Time,49 days 00:00:00.000000000
85,Faded,SoulDecision,Peak_Time,63 days 00:00:00.000000000
86,Yes!,"Brock, Chad",Peak_Time,84 days 00:00:00.000000000
87,Shake Your Bon-Bon,"Martin, Ricky",Peak_Time,84 days 00:00:00.000000000
88,You're A God,Vertical Horizon,Peak_Time,70 days 00:00:00.000000000
89,Separated,Avant,Peak_Time,21 days 00:00:00.000000000
90,Big Deal,"Rimes, LeAnn",Peak_Time,77 days 00:00:00.000000000
91,Stay The Night,IMx,Peak_Time,91 days 00:00:00.000000000
92,The Next Episode,Dr. Dre,Peak_Time,63 days 00:00:00.000000000
93,Lucky,"Spears, Britney",Peak_Time,28 days 00:00:00.000000000
94,Crash And Burn,Savage Garden,Peak_Time,49 days 00:00:00.000000000
95,Don't Think I'm Not,Kandi,Peak_Time,63 days 00:00:00.000000000
96,I Like It,Sammie,Peak_Time,77 days 00:00:00.000000000
97,Broadway,Goo Goo Dolls,Peak_Time,70 days 00:00:00.000000000
98,I Wanna Be With You,"Moore, Mandy",Peak_Time,56 days 00:00:00.000000000
99,Forgot About Dre,Dr. Dre,Peak_Time,63 days 00:00:00.000000000
100,Untitled (How Does It Feel),D'Angelo,Peak_Time,28 days 00:00:00.000000000
101,That's The Way,"Messina, Jo Dee",Peak_Time,63 days 00:00:00.000000000
102,My First Love,Avant,Peak_Time,42 days 00:00:00.000000000
103,A Puro Dolor (Purest Of Pain),Son By Four,Peak_Time,133 days 00:00:00.000000000
104,What'Chu Like,Da Brat,Peak_Time,70 days 00:00:00.000000000
105,Party Up (Up In Here),DMX,Peak_Time,56 days 00:00:00.000000000
106,Cowboy Take Me Away,"Dixie Chicks, The",Peak_Time,63 days 00:00:00.000000000
107,My Next Thirty Years,"McGraw, Tim",Peak_Time,56 days 00:00:00.000000000
108,Best Of Intentions,"Tritt, Travis",Peak_Time,105 days 00:00:00.000000000
109,Better Off Alone,Alice Deejay,Peak_Time,56 days 00:00:00.000000000
110,Another Dumb Blonde,Hoku,Peak_Time,49 days 00:00:00.000000000
111,I Learned From The Best,"Houston, Whitney",Peak_Time,35 days 00:00:00.000000000
112,Hanginaround,Counting Crows,Peak_Time,84 days 00:00:00.000000000
113,Shackles (Praise You),Mary Mary,Peak_Time,49 days 00:00:00.000000000
114,Crybaby,"Carey, Mariah",Peak_Time,0 days 00:00:00.000000000
115,My Best Friend,"McGraw, Tim",Peak_Time,63 days 00:00:00.000000000
116,Falls Apart,Sugar Ray,Peak_Time,35 days 00:00:00.000000000
117,American Pie,Madonna,Peak_Time,14 days 00:00:00.000000000
118,Where I Wanna Be,"Jones, Donell",Peak_Time,77 days 00:00:00.000000000
119,We Danced,"Paisley, Brad",Peak_Time,63 days 00:00:00.000000000
120,What About Now,Lonestar,Peak_Time,70 days 00:00:00.000000000
121,The One,"Backstreet Boys, The",Peak_Time,35 days 00:00:00.000000000
122,How Do You Like Me Now?!,"Keith, Toby",Peak_Time,70 days 00:00:00.000000000
123,The Best Day,"Strait, George",Peak_Time,84 days 00:00:00.000000000
124,Without You,"Dixie Chicks, The",Peak_Time,77 days 00:00:00.000000000
125,Just Friends (Sunny),Musiq,Peak_Time,77 days 00:00:00.000000000
126,What Do You Say,"McEntire, Reba",Peak_Time,91 days 00:00:00.000000000
127,Just Be A Man About It,"Braxton, Toni",Peak_Time,35 days 00:00:00.000000000
128,Rhythm Divine,"Iglesias, Enrique",Peak_Time,49 days 00:00:00.000000000
129,I Will Love Again,"Fabian, Lara",Peak_Time,63 days 00:00:00.000000000
130,It's My Life,Bon Jovi,Peak_Time,49 days 00:00:00.000000000
131,Born To Fly,"Evans, Sara",Peak_Time,70 days 00:00:00.000000000
132,I Lost It,"Chesney, Kenny",Peak_Time,63 days 00:00:00.000000000
133,One Night Stand,J-Shin,Peak_Time,63 days 00:00:00.000000000
134,Love Is Blind,Eve,Peak_Time,42 days 00:00:00.000000000
135,I Don't Wanna,Aaliyah,Peak_Time,35 days 00:00:00.000000000
136,The Little Girl,"Montgomery, John Michael",Peak_Time,49 days 00:00:00.000000000
137,Aaron's Party (Come Get It),"Carter, Aaron",Peak_Time,21 days 00:00:00.000000000
138,Just Another Day In Paradise,"Vassar, Phil",Peak_Time,63 days 00:00:00.000000000
139,You Can Do It,Ice Cube,Peak_Time,42 days 00:00:00.000000000
140,Back At One,"Wills, Mark",Peak_Time,42 days 00:00:00.000000000
141,Dance Tonight,Lucy Pearl,Peak_Time,70 days 00:00:00.000000000
142,It Must Be Love,"Jackson, Alan",Peak_Time,70 days 00:00:00.000000000
143,She's More,"Griggs, Andy",Peak_Time,91 days 00:00:00.000000000
144,Simple Kind Of Life,No Doubt,Peak_Time,21 days 00:00:00.000000000
145,911,"Jean, Wyclef",Peak_Time,49 days 00:00:00.000000000
146,Prayin' For Daylight,Rascal Flatts,Peak_Time,98 days 00:00:00.000000000
147,Graduation (Friends Forever),Vitamin C,Peak_Time,56 days 00:00:00.000000000
148,One Voice,"Gilman, Billy",Peak_Time,77 days 00:00:00.000000000
149,Smile,Lonestar,Peak_Time,56 days 00:00:00.000000000
150,Buy Me A Rose,"Rogers, Kenny",Peak_Time,56 days 00:00:00.000000000
151,Lessons Learned,"Lawrence, Tracy",Peak_Time,70 days 00:00:00.000000000
152,Go On,"Strait, George",Peak_Time,63 days 00:00:00.000000000
153,Got To Get It,Sisqo,Peak_Time,63 days 00:00:00.000000000
154,Who Let The Dogs Out,Baha Men,Peak_Time,91 days 00:00:00.000000000
155,The Chain Of Love,"Walker, Clay",Peak_Time,56 days 00:00:00.000000000
156,Love's The Only House,"McBride, Martina",Peak_Time,70 days 00:00:00.000000000
157,Sexual (Li Da Di),Amber,Peak_Time,210 days 00:00:00.000000000
158,Kiss This,"Tippin, Aaron",Peak_Time,56 days 00:00:00.000000000
159,I Will.. But,SheDaisy,Peak_Time,63 days 00:00:00.000000000
160,Couldn't Last A Moment,"Raye, Collin",Peak_Time,98 days 00:00:00.000000000
161,Whoa!,Black Rob,Peak_Time,42 days 00:00:00.000000000
162,Pop A Top,"Jackson, Alan",Peak_Time,70 days 00:00:00.000000000
163,Been There,"Black, Clint",Peak_Time,56 days 00:00:00.000000000
164,The Light,Common,Peak_Time,35 days 00:00:00.000000000
165,Carlene,"Vassar, Phil",Peak_Time,49 days 00:00:00.000000000
166,www.memory,"Jackson, Alan",Peak_Time,49 days 00:00:00.000000000
167,The Itch,Vitamin C,Peak_Time,14 days 00:00:00.000000000
168,G'D Up,"Eastsidaz, The",Peak_Time,35 days 00:00:00.000000000
169,Whatever,Ideal,Peak_Time,70 days 00:00:00.000000000
170,Emotional,"Thomas, Carl",Peak_Time,35 days 00:00:00.000000000
171,None Of Ur Friends Business,Ginuwine,Peak_Time,42 days 00:00:00.000000000
172,Unconditional,"Davidson, Clay",Peak_Time,84 days 00:00:00.000000000
173,What You Want,DMX,Peak_Time,84 days 00:00:00.000000000
174,Someday Out Of The Blue,"John, Elton",Peak_Time,14 days 00:00:00.000000000
175,Nothing As It Seems,Pearl Jam,Peak_Time,0 days 00:00:00.000000000
176,The Best Of Me,Mya,Peak_Time,35 days 00:00:00.000000000
177,Flowers On The Wall,"Heatherly, Eric",Peak_Time,105 days 00:00:00.000000000
178,Stan,Eminem,Peak_Time,28 days 00:00:00.000000000
179,I'll Be,"McEntire, Reba",Peak_Time,77 days 00:00:00.000000000
180,Feelin' Good,"Lopez, Jennifer",Peak_Time,49 days 00:00:00.000000000
181,Your Everything,"Urban, Keith",Peak_Time,63 days 00:00:00.000000000
182,Dear Lie,TLC,Peak_Time,21 days 00:00:00.000000000
183,Feels Like Love,"Gill, Vince",Peak_Time,77 days 00:00:00.000000000
184,Could I Have This Kiss Forever,"Houston, Whitney",Peak_Time,49 days 00:00:00.000000000
185,The Bad Touch,Bloodhound Gang,Peak_Time,28 days 00:00:00.000000000
186,Angels,"Williams, Robbie",Peak_Time,63 days 00:00:00.000000000
187,Because You Love Me,"Messina, Jo Dee",Peak_Time,42 days 00:00:00.000000000
188,Country Comes To Town,"Keith, Toby",Peak_Time,70 days 00:00:00.000000000
189,Girls Dem Sugar,Beenie Man,Peak_Time,42 days 00:00:00.000000000
190,Let's Make Love,"Hill, Faith",Peak_Time,70 days 00:00:00.000000000
191,Caught Out There,Kelis,Peak_Time,35 days 00:00:00.000000000
192,Anything,Jay-Z,Peak_Time,14 days 00:00:00.000000000
193,Loser,3 Doors Down,Peak_Time,42 days 00:00:00.000000000
194,You'll Always Be Loved By Me,Brooks & Dunn,Peak_Time,91 days 00:00:00.000000000
195,What I Need To Do,"Chesney, Kenny",Peak_Time,70 days 00:00:00.000000000
196,No More Rain (In This Cloud),"Stone, Angie",Peak_Time,28 days 00:00:00.000000000
197,That's What I'm Looking For,Da Brat,Peak_Time,49 days 00:00:00.000000000
198,This Woman Needs,SheDaisy,Peak_Time,28 days 00:00:00.000000000
199,Last Resort,Papa Roach,Peak_Time,126 days 00:00:00.000000000
200,Open My Heart,"Adams, Yolanda",Peak_Time,56 days 00:00:00.000000000
201,Bad Boyz,Shyne,Peak_Time,49 days 00:00:00.000000000
202,The Great Beyond,R.E.M.,Peak_Time,35 days 00:00:00.000000000
203,It's Always Somethin',"Diffie, Joe",Peak_Time,35 days 00:00:00.000000000
204,Some Things Never Change,"McGraw, Tim",Peak_Time,49 days 00:00:00.000000000
205,Taking You Home,"Henley, Don",Peak_Time,42 days 00:00:00.000000000
206,The Way I Am,Eminem,Peak_Time,35 days 00:00:00.000000000
207,You Owe Me,Nas,Peak_Time,21 days 00:00:00.000000000
208,Change Your Mind,Sister Hazel,Peak_Time,21 days 00:00:00.000000000
209,Best Friend,Puff Daddy,Peak_Time,7 days 00:00:00.000000000
210,There You Are,"McBride, Martina",Peak_Time,42 days 00:00:00.000000000
211,Pop Ya Collar,Usher,Peak_Time,14 days 00:00:00.000000000
212,No Matter What They Say,Lil' Kim,Peak_Time,21 days 00:00:00.000000000
213,I Don't Wanna Kiss You Goodnight,LFO,Peak_Time,7 days 00:00:00.000000000
214,Deck The Halls,SheDaisy,Peak_Time,7 days 00:00:00.000000000
215,I Think God Can Explain,Splender,Peak_Time,14 days 00:00:00.000000000
216,Where You Are,"Simpson, Jessica",Peak_Time,14 days 00:00:00.000000000
217,Mirror Mirror,M2M,Peak_Time,56 days 00:00:00.000000000
218,U Don't Love Me,Kumbia Kings,Peak_Time,14 days 00:00:00.000000000
219,Treat Her Like A Lady,Joe,Peak_Time,14 days 00:00:00.000000000
220,Deep Inside,"Blige, Mary J.",Peak_Time,70 days 00:00:00.000000000
221,You Should've Told Me,"Price, Kelly",Peak_Time,70 days 00:00:00.000000000
222,That Other Woman,Changing Faces,Peak_Time,28 days 00:00:00.000000000
223,It Was,"Wright, Chely",Peak_Time,42 days 00:00:00.000000000
224,Rollin',Limp Bizkit,Peak_Time,28 days 00:00:00.000000000
225,I Need A Hot Girl,Hot Boys,Peak_Time,21 days 00:00:00.000000000
226,Do It Again (Put Ya Hands Up),Jay-Z,Peak_Time,14 days 00:00:00.000000000
227,More,"Adkins, Trace",Peak_Time,49 days 00:00:00.000000000
228,Cold Day In July,"Dixie Chicks, The",Peak_Time,42 days 00:00:00.000000000
229,As We Lay,"Price, Kelly",Peak_Time,21 days 00:00:00.000000000
230,What's My Name,DMX,Peak_Time,28 days 00:00:00.000000000
231,Private Emotion,"Martin, Ricky",Peak_Time,7 days 00:00:00.000000000
232,If I Am,Nine Days,Peak_Time,0 days 00:00:00.000000000
233,Give Me You,"Blige, Mary J.",Peak_Time,28 days 00:00:00.000000000
234,Californication,Red Hot Chili Peppers,Peak_Time,77 days 00:00:00.000000000
235,Deep Inside Of You,Third Eye Blind,Peak_Time,35 days 00:00:00.000000000
236,Do What You Gotta Do,"Brooks, Garth",Peak_Time,28 days 00:00:00.000000000
237,Original Prankster,"Offspring, The",Peak_Time,14 days 00:00:00.000000000
238,My Baby You,"Anthony, Marc",Peak_Time,21 days 00:00:00.000000000
239,"Same Script, Different Cast","Houston, Whitney",Peak_Time,28 days 00:00:00.000000000
240,Left & Right,D'Angelo,Peak_Time,21 days 00:00:00.000000000
241,I Belong To You,"Kravitz, Lenny",Peak_Time,14 days 00:00:00.000000000
242,That's The Kind Of Mood I'm In,"Loveless, Patty",Peak_Time,63 days 00:00:00.000000000
243,Breathe And Stop,Q-Tip,Peak_Time,0 days 00:00:00.000000000
244,Can't Fight The Moonlight,"Rimes, LeAnn",Peak_Time,7 days 00:00:00.000000000
245,Tha Block Is Hot,Lil Wayne,Peak_Time,35 days 00:00:00.000000000
246,Baby Don't Cry (Keep Ya Head Up II),2 Pac,Peak_Time,14 days 00:00:00.000000000
247,Sleepwalker,"Wallflowers, The",Peak_Time,0 days 00:00:00.000000000
248,"Left, Right, Left",Drama,Peak_Time,35 days 00:00:00.000000000
249,N 2 Gether Now,Limp Bizkit,Peak_Time,35 days 00:00:00.000000000
250,"Ryde or Die, Chick",Lox,Peak_Time,7 days 00:00:00.000000000
251,Whistle While You Twurk,Ying Yang Twins,Peak_Time,42 days 00:00:00.000000000
252,"Live, Laugh, Love","Walker, Clay",Peak_Time,49 days 00:00:00.000000000
253,No Leaf Clover (Live),Metallica,Peak_Time,28 days 00:00:00.000000000
254,Another Nine Minutes,Yankee Grey,Peak_Time,21 days 00:00:00.000000000
255,Tricky Tricky ,"Bega, Lou",Peak_Time,7 days 00:00:00.000000000
256,It's So Hard,Big Punisher,Peak_Time,14 days 00:00:00.000000000
257,When You Need My Love,"Worley, Darryl",Peak_Time,77 days 00:00:00.000000000
258,How Many Licks?,Lil' Kim,Peak_Time,7 days 00:00:00.000000000
259,A Little Gasoline,"Clark, Terri",Peak_Time,0 days 00:00:00.000000000
260,A Country Boy Can Survive,"Brock, Chad",Peak_Time,7 days 00:00:00.000000000
261,My Love Goes On And On,"Cagle, Chris",Peak_Time,42 days 00:00:00.000000000
262,Put Your Hand In Mine,"Byrd, Tracy",Peak_Time,14 days 00:00:00.000000000
263,I Disappear,Metallica,Peak_Time,35 days 00:00:00.000000000
264,Hey Papi,Jay-Z,Peak_Time,56 days 00:00:00.000000000
265,The Rockafeller Skank,Fatboy Slim,Peak_Time,70 days 00:00:00.000000000
266,Mr. Too Damn Good,"Levert, Gerald",Peak_Time,21 days 00:00:00.000000000
267,Stay Or Let It Go,"McKnight, Brian",Peak_Time,28 days 00:00:00.000000000
268,Smoke Rings In The Dark,"Allan, Gary",Peak_Time,14 days 00:00:00.000000000
269,The Best Man I Can Be,Ginuwine,Peak_Time,56 days 00:00:00.000000000
270,Monica,Before Dark,Peak_Time,28 days 00:00:00.000000000
271,No Me Dejes De Querer,"Estefan, Gloria",Peak_Time,0 days 00:00:00.000000000
272,Sour Girl,Stone Temple Pilots,Peak_Time,21 days 00:00:00.000000000
273,Daddy Won't Sell The Farm,Montgomery Gentry,Peak_Time,21 days 00:00:00.000000000
274,You Won't Be Lonely Now,"Cyrus, Billy Ray",Peak_Time,49 days 00:00:00.000000000
275,Meanwhile Back At The Ranch,Clark Family Experience,Peak_Time,28 days 00:00:00.000000000
276,Summer Rain,"Thomas, Carl",Peak_Time,21 days 00:00:00.000000000
277,Real Live Woman,"Yearwood, Trisha",Peak_Time,28 days 00:00:00.000000000
278,Shut Up,Trick Daddy,Peak_Time,28 days 00:00:00.000000000
279,Straight Up,"Moore, Chante",Peak_Time,35 days 00:00:00.000000000
280,What Means The World To You,Cam'ron,Peak_Time,35 days 00:00:00.000000000
281,U Understand,Juvenile,Peak_Time,7 days 00:00:00.000000000
282,Can't Stay,"Hollister, Dave",Peak_Time,0 days 00:00:00.000000000
283,Can't Go For That,Tamia,Peak_Time,14 days 00:00:00.000000000
284,West Side Story,LFO,Peak_Time,7 days 00:00:00.000000000
285,Me Neither,"Paisley, Brad",Peak_Time,7 days 00:00:00.000000000
286,Take That,"Carter, Torrey",Peak_Time,14 days 00:00:00.000000000
287,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Ge+her,Peak_Time,7 days 00:00:00.000000000
288,Don't Call Me Baby,Madison Avenue,Peak_Time,70 days 00:00:00.000000000
289,Got It All,Eve,Peak_Time,7 days 00:00:00.000000000
290,Re-Arranged,Limp Bizkit,Peak_Time,63 days 00:00:00.000000000
291,Still In My Heart,"Spencer, Tracie",Peak_Time,7 days 00:00:00.000000000
292,3 Little Words,Nu Flavor,Peak_Time,14 days 00:00:00.000000000
293,If You Don't Wanna Love Me,Tamar,Peak_Time,21 days 00:00:00.000000000
294,Baby U Are,"Levert, Gerald",Peak_Time,7 days 00:00:00.000000000
295,L.A. Song,"Hart, Beth",Peak_Time,49 days 00:00:00.000000000
296,The Quittin' Kind,"Diffie, Joe",Peak_Time,21 days 00:00:00.000000000
297,Do You,Funkmaster Flex,Peak_Time,21 days 00:00:00.000000000
298,Love Sets You Free,"Price, Kelly",Peak_Time,7 days 00:00:00.000000000
299,Riddle,En Vogue,Peak_Time,0 days 00:00:00.000000000
300,No Mercy,"Herndon, Ty",Peak_Time,49 days 00:00:00.000000000
301,I'm Outta Love,Anastacia,Peak_Time,0 days 00:00:00.000000000
302,Pull Over,Trina,Peak_Time,7 days 00:00:00.000000000
303,Ta Da,Lil' Mo,Peak_Time,35 days 00:00:00.000000000
304,Dancing Queen,A*Teens,Peak_Time,21 days 00:00:00.000000000
305,Where I Wanna Be,"Sheist, Shade",Peak_Time,7 days 00:00:00.000000000
306,All Good?,De La Soul,Peak_Time,0 days 00:00:00.000000000
307,Get Up,"Larrieux, Amel",Peak_Time,7 days 00:00:00.000000000
308,Spanish Guitar,"Braxton, Toni",Peak_Time,0 days 00:00:00.000000000
309,I Know,Tuesday,Peak_Time,0 days 00:00:00.000000000
310,Imagine That,LL Cool J,Peak_Time,7 days 00:00:00.000000000
311,Souljas,Master P,Peak_Time,0 days 00:00:00.000000000
312,Cherchez LaGhost,Ghostface Killah,Peak_Time,0 days 00:00:00.000000000
313,Freakin' It,"Smith, Will",Peak_Time,0 days 00:00:00.000000000
314,Kernkraft 400,Zombie Nation,Peak_Time,0 days 00:00:00.000000000
315,Got Beef,"Eastsidaz, The",Peak_Time,0 days 00:00:00.000000000
316,Toca's Miracle,Fragma,Peak_Time,0 days 00:00:00.000000000
