,company,location,salary,summary,title
1414,POLICE DEPARTMENT,"New York, NY",90981.0,"Maintain records of raw data; Coordinator/Lead Scientist, Municipal Storm Sewer Systems position will serve as the coordinator and lead scientist preforming...","Coordinator / Lead Scientist, Municipal Storm Sewer Systems"
1437,Averity,"New York, NY",175000.0,"Are you Quantitative Research Analyst looking to join a Multi-Billion Dollar Hedge Fund? What is the Job? As a Quantitative Research Analyst, you will work",Quantitative Research Analyst for Multi-Billion Dollar Hedge...
1441,"NewAgeSys,Inc","Kenilworth, NJ",50000.0,Analysis and interpretation data. Candidate must have experience in executing study designs requiring highly organized data collection and management....,Chemist
1475,Harnham,"New York, NY",110000.0,You will join the data engineering team and work closely with the data scientists as well. Big Data Engineer....,Big Data Engineer
1528,Analytic Recruiting,"Atlanta, GA",112500.0,"Python, data mining, data science; The data Scientist must also be able to manage complicated projects involving multiple internal/external stakeholders and...",Senior Data Scientist
1535,Emory University,"Atlanta, GA",85500.0,"Staff Scientists will have leadership responsibilities, and will oversee quality and training of other team members....",Staff Scientist (Goldsmith Lab)
1562,Emory University,"Atlanta, GA",69900.0,"The Medical Image Analysis Scientist, works with Emory Radiology & Imaging Sciences faculty to help develop image analysis and image understanding algorithms...","Scientist, Med Imag Analysis"
1564,Synergy Search Group,"Atlanta, GA",80000.0,"Duties will include data conversion from multiple systems into analytical software such as ACL, using data analytical techniques to validate the integrity of...",Audit Snr (Banking) - Data Analysis 60K-80K
1655,Analytic Recruiting,"Atlanta, GA",107500.0,"Data Scientist, Supply Chain sought by Fortune 500 company to be part of a leading-edge predictive and prescriptive analytics....",Data Scientist - Supply Chain
1864,Dashbot.io,"San Francisco, CA",170000.0,"Data migration, transformation, and scripting. We are looking for a big data engineer and scientist whose role will be discovering insights from a large corpus...",Data Engineer and Scientist
1954,All-In Analytics,"San Francisco, CA",135000.0,Machine Learning Senior Data Scientist. Mentor and manage junior Data Scientists. San Francisco Company is looking for a Data Scientist with a specialty in time...,Sr. Machine Learning Data Scientist
1962,Workbridge Associates,"San Francisco, CA",150000.0,Established retail and eCommerce company in downtown San Francisco is looking to hire a Senior Data Scientist who will develop core machine learning algorithms...,Senior Data Scientist (Optimization)
2037,Elevate Recruiting Group,"Redwood City, CA",170000.0,"Through the Our Clients pivotal world-view in the security domain, the Data Scientist will make large-scale and world-shaping impact across diverse sectors...",Senior Data Scientist - Security Experience is Huge
2079,Workbridge Associates,"San Francisco, CA",150000.0,Data Mining Experience. The Data Engineers work closely with the Data Scientists and Engineers so there will be some crossover with Machine Learning....,Data Engineer (Python)
2291,"IGE Therapeutics, Inc","San Diego, CA",53000.0,"The candidates working in a Team culture, are expected to be a cordial team player, skilled in both verbal and written communication, data organization and...",Scientist
2647,Mountain Ltd.,"Denver, CO",42500.0,Enter data from legal sources into database. Is seeking a *Legal Research Analyst*....,Legal Research Analyst
3999,Averity,"New York, NY",200000.0,"Looking for a strong Quantitative Analyst, Researcher or Data Scientist who is interested in an opportunity to work at one of the most reputable, top...",Senior Systematic Quantitative Analyst - Multi-billion Dolla...
4005,Animalz,"New York, NY 10002 (Lower East Side area)",40000.0,You're a critical thinker who can find compelling and significant arguments and data online. We are a content marketing agency looking to hire an extremely...,Research Analyst
4056,Geode Executive Search,"New York, NY",200000.0,"Data Scientist - Text Analytics - SQL, R, SAS*. The ~600 person company has a relatively new Data Analytics department, which has the responsibility of...","Data Scientist - Text Analytics - SQL, R, SAS"
4061,Nathan S. Kline Institute,"Orangeburg, NY",25000.0,Additional experience in statistical analysis of epigenetic and biochemical data will be useful but not necessary....,Post-Doctoral Scientist (Analytical Psychopharmacology Depar...
4816,San Francisco Department of Public Health,"San Francisco, CA",111774.0,"Under administrative direction of the Director, Public Health Laboratory, the 0922 Manager I – Chief Microbiologist presents scientific data at meetings;...",Manager I - Chief Microbiologist
4823,Workbridge Associates,"Berkeley, CA",155000.0,The Machine Learning Operations group within the autonomous vehicle research division is seeking a Lead Data Analyst that will work closely with data scientists...,Lead Data Analyst (Machine Learning Operations) - Autonomous...
