,company,location,salary,summary,title
70,Harnham,"Boston, MA",200000.0,"Team management, mentoring & leadership experience overseeing highly-educated data scientists & analysts....",DIRECTOR OF DATA SCIENCE - RETAIL
71,Wade & Wendy,"New York, NY",100000.0,"Our Data Scientist will integrate data from web sources, real-time adaptive questioning, and human-intelligence, to develop algorithms that create smart...",Wade & Wendy_Data Scientist/Engineer
72,Harnham,"New York, NY",170000.0,Senior Data Scientist - Bio-tech. Senior Data Scientist | Data Scientist | Bio-tech | Biostatistics | Computer Science | Machine Learning....,Senior Data Scientist - Bio-tech
73,Beeswax,"New York, NY",147500.0,"A minimum of 5 years experience in Machine learning, large-scale data mining, or applied data science. We’re seeking a senior data scientist in New York City to...",Senior / Director Data Science
74,Harnham,"New York, NY",200000.0,"Senior Data Scientist. However this opportunity, to work as a Senior Data Scientist, represents something entirely unique....",Senior Data Scientist
75,Oliver James Associates,"New York, NY",165000.0,3+ years of exposure working with Predictive modellers and Data Scientist. The program manager will be working closely with Predictive modellers and Data...,"Program Manager - Data Science - New York City - $165,000"
76,CONSUMER AFFAIRS,"Manhattan, NY",65977.0,"The Division of Data Analysis and Strategic Planning seeks a highly motivated, results oriented individual to serve as a Modeler/Data Scientist, Policy and...","Modeler/Data Scientist, Policy and Strategy"
77,Averity,"New York, NY",110000.0,"As a Senior Statistician, you will be proficient in SAS and SQL and will utilize your big data and predictive modeling skills to analyze, manipulate and...",Senior Statistician for Fortune 500 Company
78,Averity,"New York, NY",110000.0,This is an opportunity for an experienced Senior Data Scientist to use your passion for advanced analytics and Big Data to impact our company's success....,"Senior Data Scientist for Innovative, Top-Ranked Global Comp..."
79,Averity,"New York, NY",110000.0,This is an opportunity for an experienced Data Scientist to use your passion for advanced analytics and Big Data to impact our company's success....,Senior Data Scientist for Global Travel Company
80,Averity,"New York, NY",150000.0,"Our data science needs are growing quickly, and we are looking to bring on experienced, smart data scientists excited about machine learning and business-minded...",Senior Data Scientist
81,DEPT OF ENVIRONMENT PROTECTION,"New York, NY",79249.5,S/he must also demonstrate the ability to connect technical data to policy level needs. Two years as a City Research Scientist Level I can be substituted for...,Water Quality Analyst
82,Averity,"New York, NY",130000.0,"As a Lead Data Scientist in our Operational Analytics team, you will have extensive experience with machine learning techniques, data analysis and predictive...",Lead Data Scientist
83,Selby Jennings,"New York, NY 10167 (Midtown area)",167500.0,Senior Data Scientist. Data Intelligence Software Vendor. The Senior Data Scientist will lead the way on improving and maintaining real time detection models...,Senior Data Scientist
84,Selby Jennings,"New York, NY 10167 (Midtown area)",160000.0,"Senior Data Scientist - Quantitative Solutions. Key qualifications for Senior Data Scientist:. Data Mining, SAS, R, Matlab, Mathematica, Machine Learning,...",Senior Data Scientist - Quantitative Solutions
85,DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",65977.0,"Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above....","Special Assistant, Bureau of Vital Statistics"
86,DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",65977.0,"Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above....","Quality Assurance Analyst, Bureau of Vital Statistics"
87,Selby Jennings,"New York, NY 10167 (Midtown area)",112500.0,"An industry-leading FinTech firm in California is adding to their growing risk team with a credit risk modeler, expert in predictive modeling. This role will",Statistical Modeler | FinTech
88,DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY",79249.5,"Monitor, maintain, troubleshoot, and improve data collection systems to ensure data quality and reliability....","Data Analyst, Bureau of Mental Health/Research and Evaluatio..."
89,Selby Jennings,"New York, NY 10167 (Midtown area)",120000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Quantitative Analyst - Multiple Vacancies
90,Harris Allied,"New York, NY 10018 (Clinton area)",140000.0,"Very high profile- you will be the point person, interacting with various groups within the firm, pulling data from various database sources in order to...",Quantitative Research/Data Analyst
91,Smith Hanley Associates,"New York, NY",150000.0,Manage and grow a team of data scientists focused on campaign problems. Director of Data Science. Analyze petabytes of data to create business outcomes....,Director of Data Science
92,"NewAgeSys,Inc","Parsippany, NJ",45000.0,Working knowledge of both computer and/or data handling acquisition systems is necessary and required. All Resumes reviewed Candidates MUST HAVE 3+ years with...,Scientist
93,DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",76941.5,"-Evaluate data, prepare reports and maintain records. Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and...","City Research Scientist, Bureau of the Public Health Laborat..."
94,POLICE DEPARTMENT,"New York, NY",51363.0,"This position will also be responsible for conducting confidential analytical work in the review, extraction, examination, and compilation of highly sensitive...","STATISTICIAN, LEVEL I"
95,Averity,"New York, NY",140000.0,Are you a experienced Data Scientist who wants to make an impact on fortune 500 companies around the world as you continue to enhance and expand your knowledge...,Lead Data Scientist - Top Data Consultancy
96,HOUSING PRESERVATION & DVLPMNT,"New York, NY",70286.0,"Reliability and validity, sampling, primary and secondary data collection, and data management. Experience managing and manipulating administrative data;...",Technical Researcher
97,Averity,"New York, NY",150000.0,We are hiring a Lead Data Scientist for our growing Data Science team here at one of the world's largest and most respected companies....,Lead Data Scientist (New Jersey)
98,StreetID,"New York, NY",120000.0,Professional or academic experience working with large/noisy data sets. The emphasis here will be on hiring exceptional talent with a passion for turning...,Quantitative Analyst
99,Averity,"New York, NY",135000.0,"Strong background in big data technology. As a Data Scientist, you will make a significant contribution to the investment effort by maintaining and further...","Data Scientist, Quant Developer for $10B Asset Manager"
100,NYC Department of Buildings,"Manhattan, NY",68908.5,Conducting qualitative and quantitative data collection and coding. The Department of Buildings Office of Strategic Planning and Policy addresses operational...,"Research Analyst, Risk"
101,Winston Fox,"New York, NY",200000.0,"Develop powerful systems that provide easy access to large amounts historical trading data, market data, trading simulations, pricing, risk etc. You will be...",Senior Software Development Engineer
102,Selby Jennings,"New York, NY 10167 (Midtown area)",130000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,VP Quantitative Analyst - Multiple Vacancies
103,DEPT OF ENVIRONMENT PROTECTION,"New York, NY",65977.0,"S/he should be fluent in ArcGIS 10.x, extensions, and add-ins, with the ability to create high quality maps and perform spatial analyses, experience in managing...",Environmental Analyst
104,DEPT OF ENVIRONMENT PROTECTION,"New York, NY",79249.5,"Participating in data collection, analysis, interpretation, and generating reports on data, findings, and results....",City Research Scientist
105,Averity,"New York, NY",80000.0,"As a Tableau Developer in our Data Science team, you will work in collaboration with our data scientists, QA engineers, software developers and business...",Tableau Developer for Global Organization
106,Selby Jennings,"New York, NY 10167 (Midtown area)",135000.0,A top global commodities company is seeking an FTR Quantitative Analyst with specific experience within the power space. This is a great opportunity to work,FTR Quantitative Risk Analyst
107,Scienaptic Systems Inc,"New York, NY",100000.0,"We are looking for an energetic and experienced person as Data Scientist. Ability to code on SAS/R for data munging, SQL queries based data exploration &...",Data Scientist
108,Centers for Disease Control and Prevention,"New York, NY",117437.5,Analyze scientific investigation data. The Centers for Disease Control and Prevention (CDC) is the agency Americans trust with their lives....,Health Scientist
109,Averity,"New York, NY",200000.0,"Looking for a strong Quantitative Analyst, Researcher or Data Scientist who is interested in an opportunity to work at one of the most reputable, top...",Senior Systematic Quantitative Analyst - Multi-billion Dolla...
110,Animalz,"New York, NY 10002 (Lower East Side area)",40000.0,You're a critical thinker who can find compelling and significant arguments and data online. We are a content marketing agency looking to hire an extremely...,Research Analyst
111,POLICE DEPARTMENT,"New York, NY",90981.0,"Maintain records of raw data; Coordinator/Lead Scientist, Municipal Storm Sewer Systems position will serve as the coordinator and lead scientist preforming...","Coordinator / Lead Scientist, Municipal Storm Sewer Systems"
112,Selby Jennings,"New York, NY 10167 (Midtown area)",130000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Vice President Quantitative Analyst
113,Driversiti,"Rochelle Park, NJ",100000.0,"Data Plotting - Visualization libraries such as Plotly, D3, Bokeh. Being on top of new data science and viz tools to implement new features....",Full-Stack Dev Data Viz - Pythonic Design
114,"NewAgeSys,Inc","Kenilworth, NJ",50000.0,Analysis and interpretation data. Candidate must have experience in executing study designs requiring highly organized data collection and management....,Chemist
115,DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",65977.0,"-Assisting in survey intake, data capture processes, data cleaning and outreach for Registry follow-up surveys and ancillary studies....","Panel Maintenance Analyst, World Trade Center Health Registr..."
116,Geode Executive Search,"New York, NY",200000.0,"Data Scientist - Text Analytics - SQL, R, SAS*. The ~600 person company has a relatively new Data Analytics department, which has the responsibility of...","Data Scientist - Text Analytics - SQL, R, SAS"
117,Nathan S. Kline Institute,"Orangeburg, NY",25000.0,Additional experience in statistical analysis of epigenetic and biochemical data will be useful but not necessary....,Post-Doctoral Scientist (Analytical Psychopharmacology Depar...
118,Workbridge Associates,"New York, NY",115000.0,"Any other experience within data scalability, data validation, data modeling, and data mining HUGE, HUGE plus!!...",Data Scientist
119,Harnham,"New York, NY",110000.0,You will join the data engineering team and work closely with the data scientists as well. Big Data Engineer....,Big Data Engineer
120,Centers for Disease Control and Prevention,"Atlanta, GA",101553.5,"Assess data for completeness, accuracy, and quality. Identify and apply analytical methods, techniques, and tools to analyze and interpret data....",Statistician (Health)
121,Analytic Recruiting,"Alpharetta, GA",82500.0,"Junior Data Scientist sought by Fortune 500 company in their Alpharetta, GA offices. Ability to apply logic to design and implement data mining techniques on...",Junior Data Scientist
122,Centers for Disease Control and Prevention,"Atlanta, GA",85399.0,"As Behavioral Scientist you will:. Identify and define the behavioral and social science aspects of public health issues, problems and opportunities through the...",Behavioral Scientist
123,Stackfolio,"Atlanta, GA 30308 (Old Fourth Ward area)",80000.0,We are looking for a bright and experienced data scientist that has experience building web-based applications and systems to join our team as an early...,Lead Data Scientist
124,Analytic Recruiting,"Atlanta, GA",112500.0,"Python, data mining, data science; The data Scientist must also be able to manage complicated projects involving multiple internal/external stakeholders and...",Senior Data Scientist
125,Emory University,"Atlanta, GA",85500.0,"Staff Scientists will have leadership responsibilities, and will oversee quality and training of other team members....",Staff Scientist (Goldsmith Lab)
126,SearchAccountingJobs,"Atlanta, GA",177500.0,"The client is looking for talented individuals who love data, love solving business problems, and want to see their recommendations in action....",Lead Quantitative Analyst
127,Smith Hanley Associates,"Atlanta, GA",87500.0,"-Post degree business based experience doing data mining and statistical modeling. -Scope projects, extract and transform data using SAS, R and other...",Marketing Statistician
128,Emory University,"Atlanta, GA",69900.0,"The Medical Image Analysis Scientist, works with Emory Radiology & Imaging Sciences faculty to help develop image analysis and image understanding algorithms...","Scientist, Med Imag Analysis"
129,Synergy Search Group,"Atlanta, GA",80000.0,"Duties will include data conversion from multiple systems into analytical software such as ACL, using data analytical techniques to validate the integrity of...",Audit Snr (Banking) - Data Analysis 60K-80K
130,Georgia Department of Public Health,"Atlanta, GA",24000.0,"Under broad supervision, assists technicians and laboratory scientists with data or specimen collection and laboratory procedures....",Laboratory Aide 3
131,Emory University,"Atlanta, GA",66700.0,"Responsible for post award processing of grants and contracts in the Office of Grants & Contracts. Provide account management, reconciliation, and resolution",Sponsored Research Financial Analyst
132,Analytic Recruiting,"Atlanta, GA",107500.0,"Data Scientist, Supply Chain sought by Fortune 500 company to be part of a leading-edge predictive and prescriptive analytics....",Data Scientist - Supply Chain
133,Dashbot.io,"San Francisco, CA",170000.0,"Data migration, transformation, and scripting. We are looking for a big data engineer and scientist whose role will be discovering insights from a large corpus...",Data Engineer and Scientist
134,All-In Analytics,"San Francisco, CA",135000.0,Machine Learning Senior Data Scientist. Mentor and manage junior Data Scientists. San Francisco Company is looking for a Data Scientist with a specialty in time...,Sr. Machine Learning Data Scientist
135,Workbridge Associates,"San Francisco, CA",150000.0,Established retail and eCommerce company in downtown San Francisco is looking to hire a Senior Data Scientist who will develop core machine learning algorithms...,Senior Data Scientist (Optimization)
136,Federal Emergency Management Agency,"Oakland, CA",96947.0,"In this position, you will serve as a Physical Scientist. Developing and providing decision support data that promotes risk reduction activities such as...",Physical Scientist
137,Nisum Technologies,"San Francisco, CA",140000.0,"Big Data Stack:. Hadoop data Ingestion, data quality, development, troubleshooting issues, production code management and testing/deployment....",Big Data Talend Developer
138,Elevate Recruiting Group,"Redwood City, CA",170000.0,"Through the Our Clients pivotal world-view in the security domain, the Data Scientist will make large-scale and world-shaping impact across diverse sectors...",Senior Data Scientist - Security Experience is Huge
139,Harnham,"San Francisco, CA",185000.0,"You will lead a team of 4 data scientists including man-management, motivation, generating and executing analytical strategies and adopting a hands-on approach...",Senior Data Science Manager
140,Workbridge Associates,"San Francisco, CA",150000.0,Data Mining Experience. The Data Engineers work closely with the Data Scientists and Engineers so there will be some crossover with Machine Learning....,Data Engineer (Python)
141,Bayone Solutions Inc.,"San Francisco, CA",160000.0,Position - Data Scientist - Recommendation Engine*. 2+ years experience with Big Data ecosystem:. Minimum of 7 years of back-end experience within a Java and...,Data Scientist - Recommendation Engine
142,San Francisco Department of Public Health,"San Francisco, CA",111774.0,"Under administrative direction of the Director, Public Health Laboratory, the 0922 Manager I – Chief Microbiologist presents scientific data at meetings;...",Manager I - Chief Microbiologist
143,Workbridge Associates,"Berkeley, CA",155000.0,The Machine Learning Operations group within the autonomous vehicle research division is seeking a Lead Data Analyst that will work closely with data scientists...,Lead Data Analyst (Machine Learning Operations) - Autonomous...
144,UC San Diego,"San Diego, CA",68200.0,Proven experience with Business Intelligence tools and data display techniques. Demonstrated experience developing and maintaining relational databases for data...,Strategic Research Opportunities Analyst
145,"IGE Therapeutics, Inc","San Diego, CA",53000.0,"The candidates working in a Team culture, are expected to be a cordial team player, skilled in both verbal and written communication, data organization and...",Scientist
146,Workbridge Associates,"San Diego, CA",100000.0,Experience working with large amounts of data. A leading cybersecurity solutions company located in San Diego is looking to bring on a Software Engineer to...,Software Engineer (C#/Machine Learning)
