,track,artist,genre,week,Ranking
35,Hot Boyz,"Elliott, Missy ""Misdemeanor""",Rap,1,36.0
36,I Try,"Gray, Macy",Rock,1,68.0
37,This I Promise You,N'Sync,Rock,1,68.0
38,No More,Ruff Endz,Rock,1,76.0
39,Show Me The Meaning Of Being Lonely,"Backstreet Boys, The",Rock,1,74.0
40,Absolutely (Story Of A Girl),Nine Days,Rock,1,85.0
41,That's The Way It Is,"Dion, Celine",Rock,1,74.0
42,All The Small Things,Blink-182,Rock,1,89.0
43,Blue (Da Ba Dee),Eiffel 65,Electronica,1,67.0
44,Bag Lady,"Badu, Erkyah",Rock,1,67.0
45,There U Go,Pink,Rock,1,25.0
46,Higher,Creed,Rock,1,81.0
47,(Hot S**t) Country Grammar,Nelly,Rap,1,100.0
48,Wifey,Next,Rock,1,85.0
49,Auld Lang Syne (The Millenium Mix),Kenny G,Jazz,1,89.0
50,It Feels So Good,Sonique,Rock,1,67.0
51,Oops!.. I Did It Again,"Spears, Britney",Rock,1,67.0
52,Shape Of My Heart,"Backstreet Boys, The",Rock,1,39.0
53,Wonderful,Everclear,Rock,1,77.0
54,Between Me And You,Ja Rule,Rap,1,85.0
55,I Need You,"Rimes, LeAnn",Country,1,77.0
56,Then The Morning Comes,Smash Mouth,Rock,1,83.0
57,I Just Wanna Love U (Give It 2 Me),Jay-Z,Rap,1,58.0
58,Let's Get Married,Jagged Edge,Rock,1,77.0
59,Take A Picture,Filter,Rock,1,91.0
60,She Bangs,"Martin, Ricky",Latin,1,38.0
61,Shake Ya Ass,Mystikal,Rap,1,97.0
62,Back Here,BBMak,Rock,1,99.0
63,From The Bottom Of My Broken Heart,"Spears, Britney",Rock,1,76.0
64,Never Let You Go,Third Eye Blind,Rock,1,65.0
65,Otherside,Red Hot Chili Peppers,Rock,1,80.0
66,Liar,Profyle,R&B,1,52.0
67,Pinch Me,Barenaked Ladies,Rock,1,77.0
68,He Can't Love U,Jagged Edge,Rock,1,54.0
69,Wobble Wobble,504 Boyz,Rap,1,57.0
70,Desert Rose,Sting,Rock,1,98.0
71,Big Pimpin',Jay-Z,Rap,1,69.0
72,Only God Knows Why,Kid Rock,Rock,1,63.0
73,Learn To Fly,Foo Fighters,Rock,1,80.0
74,Goodbye Earl,"Dixie Chicks, The",Country,1,40.0
75,Dancin',Guy,R&B,1,46.0
76,Bounce With Me,Lil Bow Wow,Rap,1,48.0
77,Swear It Again,Westlife,Rock,1,96.0
78,Meet Virginia,Train,Rock,1,76.0
79,I Wish,"Thomas, Carl",Rock,1,75.0
80,This Time Around,Hanson,Country,1,22.0
81,I Think I'm In Love With You,"Simpson, Jessica",Pop,1,63.0
82,What's Your Fantasy,Ludacris,Rap,1,89.0
83,Callin' Me,Lil' Zane,Rap,1,83.0
84,Don't Say You Love Me,M2M,Pop,1,72.0
85,Faded,SoulDecision,Rock,1,94.0
86,Yes!,"Brock, Chad",Country,1,90.0
87,Shake Your Bon-Bon,"Martin, Ricky",Latin,1,74.0
88,You're A God,Vertical Horizon,Rock,1,64.0
89,Separated,Avant,Rock,1,62.0
90,Big Deal,"Rimes, LeAnn",Country,1,71.0
91,Stay The Night,IMx,Rap,1,84.0
92,The Next Episode,Dr. Dre,Rap,1,78.0
93,Lucky,"Spears, Britney",Rock,1,61.0
94,Crash And Burn,Savage Garden,Rock,1,75.0
95,Don't Think I'm Not,Kandi,Rock,1,66.0
96,I Like It,Sammie,Rock,1,85.0
97,Broadway,Goo Goo Dolls,Rock,1,74.0
98,I Wanna Be With You,"Moore, Mandy",Pop,1,69.0
99,Forgot About Dre,Dr. Dre,Rap,1,75.0
100,Untitled (How Does It Feel),D'Angelo,R&B,1,77.0
101,That's The Way,"Messina, Jo Dee",Country,1,78.0
102,My First Love,Avant,Rock,1,70.0
103,A Puro Dolor (Purest Of Pain),Son By Four,Latin,1,80.0
104,What'Chu Like,Da Brat,Rap,1,71.0
105,Party Up (Up In Here),DMX,Rap,1,88.0
106,Cowboy Take Me Away,"Dixie Chicks, The",Country,1,79.0
107,My Next Thirty Years,"McGraw, Tim",Country,1,73.0
108,Best Of Intentions,"Tritt, Travis",Country,1,97.0
109,Better Off Alone,Alice Deejay,Electronica,1,79.0
110,Another Dumb Blonde,Hoku,Pop,1,69.0
111,I Learned From The Best,"Houston, Whitney",Rock,1,83.0
112,Hanginaround,Counting Crows,Rock,1,84.0
113,Shackles (Praise You),Mary Mary,Rock,1,90.0
114,Crybaby,"Carey, Mariah",Rock,1,28.0
115,My Best Friend,"McGraw, Tim",Country,1,85.0
116,Falls Apart,Sugar Ray,Rock,1,70.0
117,American Pie,Madonna,Rock,1,43.0
118,Where I Wanna Be,"Jones, Donell",Rock,1,81.0
119,We Danced,"Paisley, Brad",Country,1,71.0
120,What About Now,Lonestar,Country,1,78.0
121,The One,"Backstreet Boys, The",Rock,1,58.0
122,How Do You Like Me Now?!,"Keith, Toby",Country,1,77.0
123,The Best Day,"Strait, George",Country,1,73.0
124,Without You,"Dixie Chicks, The",Country,1,80.0
125,Just Friends (Sunny),Musiq,Rap,1,89.0
126,What Do You Say,"McEntire, Reba",Country,1,88.0
127,Just Be A Man About It,"Braxton, Toni",Rock,1,76.0
128,Rhythm Divine,"Iglesias, Enrique",Latin,1,90.0
129,I Will Love Again,"Fabian, Lara",Pop,1,91.0
130,It's My Life,Bon Jovi,Rock,1,64.0
131,Born To Fly,"Evans, Sara",Country,1,77.0
132,I Lost It,"Chesney, Kenny",Country,1,75.0
133,One Night Stand,J-Shin,R&B,1,96.0
134,Love Is Blind,Eve,Rap,1,94.0
135,I Don't Wanna,Aaliyah,Rock,1,84.0
136,The Little Girl,"Montgomery, John Michael",Country,1,81.0
137,Aaron's Party (Come Get It),"Carter, Aaron",R&B,1,99.0
138,Just Another Day In Paradise,"Vassar, Phil",Country,1,81.0
139,You Can Do It,Ice Cube,Rap,1,86.0
140,Back At One,"Wills, Mark",Country,1,89.0
141,Dance Tonight,Lucy Pearl,R&B,1,80.0
142,It Must Be Love,"Jackson, Alan",Country,1,76.0
143,She's More,"Griggs, Andy",Country,1,81.0
144,Simple Kind Of Life,No Doubt,Rock,1,50.0
145,911,"Jean, Wyclef",Rap,1,77.0
146,Prayin' For Daylight,Rascal Flatts,Country,1,87.0
147,Graduation (Friends Forever),Vitamin C,Rock,1,81.0
148,One Voice,"Gilman, Billy",Country,1,86.0
149,Smile,Lonestar,Country,1,89.0
150,Buy Me A Rose,"Rogers, Kenny",Country,1,79.0
151,Lessons Learned,"Lawrence, Tracy",Country,1,80.0
152,Go On,"Strait, George",Country,1,71.0
153,Got To Get It,Sisqo,Rock,1,92.0
154,Who Let The Dogs Out,Baha Men,R&B,1,99.0
155,The Chain Of Love,"Walker, Clay",Country,1,73.0
156,Love's The Only House,"McBride, Martina",Country,1,79.0
157,Sexual (Li Da Di),Amber,Rock,1,99.0
158,Kiss This,"Tippin, Aaron",Country,1,74.0
159,I Will.. But,SheDaisy,Country,1,78.0
160,Couldn't Last A Moment,"Raye, Collin",Country,1,91.0
161,Whoa!,Black Rob,Rap,1,78.0
162,Pop A Top,"Jackson, Alan",Country,1,79.0
163,Been There,"Black, Clint",Country,1,87.0
164,The Light,Common,Rap,1,75.0
165,Carlene,"Vassar, Phil",Country,1,75.0
166,www.memory,"Jackson, Alan",Country,1,75.0
167,The Itch,Vitamin C,Rock,1,86.0
168,G'D Up,"Eastsidaz, The",Rap,1,77.0
169,Whatever,Ideal,R&B,1,75.0
170,Emotional,"Thomas, Carl",Rock,1,77.0
171,None Of Ur Friends Business,Ginuwine,Rock,1,94.0
172,Unconditional,"Davidson, Clay",Country,1,97.0
173,What You Want,DMX,Rap,1,98.0
174,Someday Out Of The Blue,"John, Elton",Rock,1,56.0
175,Nothing As It Seems,Pearl Jam,Rock,1,49.0
176,The Best Of Me,Mya,Rock,1,85.0
177,Flowers On The Wall,"Heatherly, Eric",Country,1,95.0
178,Stan,Eminem,Rap,1,78.0
179,I'll Be,"McEntire, Reba",Country,1,89.0
180,Feelin' Good,"Lopez, Jennifer",Latin,1,79.0
181,Your Everything,"Urban, Keith",Country,1,81.0
182,Dear Lie,TLC,Rock,1,63.0
183,Feels Like Love,"Gill, Vince",Country,1,82.0
184,Could I Have This Kiss Forever,"Houston, Whitney",Rock,1,74.0
185,The Bad Touch,Bloodhound Gang,R&B,1,70.0
186,Angels,"Williams, Robbie",Rock,1,85.0
187,Because You Love Me,"Messina, Jo Dee",Country,1,83.0
188,Country Comes To Town,"Keith, Toby",Country,1,82.0
189,Girls Dem Sugar,Beenie Man,Reggae,1,72.0
190,Let's Make Love,"Hill, Faith",Rap,1,83.0
191,Caught Out There,Kelis,R&B,1,84.0
192,Anything,Jay-Z,Rap,1,72.0
193,Loser,3 Doors Down,Rock,1,76.0
194,You'll Always Be Loved By Me,Brooks & Dunn,Country,1,95.0
195,What I Need To Do,"Chesney, Kenny",Country,1,79.0
196,No More Rain (In This Cloud),"Stone, Angie",R&B,1,86.0
197,That's What I'm Looking For,Da Brat,Rap,1,93.0
198,This Woman Needs,SheDaisy,Country,1,82.0
199,Last Resort,Papa Roach,Rock,1,75.0
200,Open My Heart,"Adams, Yolanda",Gospel,1,76.0
201,Bad Boyz,Shyne,Rap,1,94.0
202,The Great Beyond,R.E.M.,Rock,1,79.0
203,It's Always Somethin',"Diffie, Joe",Country,1,81.0
204,Some Things Never Change,"McGraw, Tim",Country,1,76.0
205,Taking You Home,"Henley, Don",Rock,1,79.0
206,The Way I Am,Eminem,Rap,1,87.0
207,You Owe Me,Nas,R&B,1,74.0
208,Change Your Mind,Sister Hazel,Rock,1,75.0
209,Best Friend,Puff Daddy,Rap,1,65.0
210,There You Are,"McBride, Martina",Country,1,79.0
211,Pop Ya Collar,Usher,Rock,1,68.0
212,No Matter What They Say,Lil' Kim,Rap,1,80.0
213,I Don't Wanna Kiss You Goodnight,LFO,Rock,1,63.0
214,Deck The Halls,SheDaisy,Country,1,97.0
215,I Think God Can Explain,Splender,R&B,1,71.0
216,Where You Are,"Simpson, Jessica",Rock,1,73.0
217,Mirror Mirror,M2M,Pop,1,87.0
218,U Don't Love Me,Kumbia Kings,R&B,1,81.0
219,Treat Her Like A Lady,Joe,Rock,1,77.0
220,Deep Inside,"Blige, Mary J.",Rock,1,83.0
221,You Should've Told Me,"Price, Kelly",Rock,1,91.0
222,That Other Woman,Changing Faces,Rock,1,80.0
223,It Was,"Wright, Chely",R&B,1,86.0
224,Rollin',Limp Bizkit,Rock,1,77.0
225,I Need A Hot Girl,Hot Boys,Rap,1,77.0
226,Do It Again (Put Ya Hands Up),Jay-Z,Rap,1,95.0
227,More,"Adkins, Trace",Country,1,84.0
228,Cold Day In July,"Dixie Chicks, The",Country,1,80.0
229,As We Lay,"Price, Kelly",Rock,1,82.0
230,What's My Name,DMX,Rap,1,98.0
231,Private Emotion,"Martin, Ricky",Latin,1,76.0
232,If I Am,Nine Days,Rock,1,68.0
233,Give Me You,"Blige, Mary J.",Rock,1,97.0
234,Californication,Red Hot Chili Peppers,Rock,1,72.0
235,Deep Inside Of You,Third Eye Blind,Rock,1,80.0
236,Do What You Gotta Do,"Brooks, Garth",Country,1,86.0
237,Original Prankster,"Offspring, The",Rock,1,74.0
238,My Baby You,"Anthony, Marc",Latin,1,82.0
239,"Same Script, Different Cast","Houston, Whitney",Rock,1,71.0
240,Left & Right,D'Angelo,R&B,1,93.0
241,I Belong To You,"Kravitz, Lenny",Rock,1,78.0
242,That's The Kind Of Mood I'm In,"Loveless, Patty",Country,1,98.0
243,Breathe And Stop,Q-Tip,Rock,1,71.0
244,Can't Fight The Moonlight,"Rimes, LeAnn",Country,1,82.0
245,Tha Block Is Hot,Lil Wayne,Rap,1,99.0
246,Baby Don't Cry (Keep Ya Head Up II),2 Pac,Rap,1,87.0
247,Sleepwalker,"Wallflowers, The",Rock,1,73.0
248,"Left, Right, Left",Drama,Rap,1,100.0
249,N 2 Gether Now,Limp Bizkit,Rock,1,94.0
250,"Ryde or Die, Chick",Lox,Rap,1,86.0
251,Whistle While You Twurk,Ying Yang Twins,Rap,1,95.0
252,"Live, Laugh, Love","Walker, Clay",Country,1,95.0
253,No Leaf Clover (Live),Metallica,Rock,1,86.0
254,Another Nine Minutes,Yankee Grey,Country,1,86.0
255,Tricky Tricky ,"Bega, Lou",Rock,1,75.0
256,It's So Hard,Big Punisher,Rap,1,96.0
257,When You Need My Love,"Worley, Darryl",Country,1,98.0
258,How Many Licks?,Lil' Kim,Rap,1,79.0
259,A Little Gasoline,"Clark, Terri",Country,1,75.0
260,A Country Boy Can Survive,"Brock, Chad",Country,1,93.0
261,My Love Goes On And On,"Cagle, Chris",Country,1,99.0
262,Put Your Hand In Mine,"Byrd, Tracy",Country,1,81.0
263,I Disappear,Metallica,Rock,1,86.0
264,Hey Papi,Jay-Z,Rap,1,98.0
265,The Rockafeller Skank,Fatboy Slim,Electronica,1,94.0
266,Mr. Too Damn Good,"Levert, Gerald",R&B,1,84.0
267,Stay Or Let It Go,"McKnight, Brian",Rock,1,95.0
268,Smoke Rings In The Dark,"Allan, Gary",Country,1,80.0
269,The Best Man I Can Be,Ginuwine,Rock,1,97.0
270,Monica,Before Dark,Rock,1,95.0
271,No Me Dejes De Querer,"Estefan, Gloria",Rock,1,77.0
272,Sour Girl,Stone Temple Pilots,Rock,1,79.0
273,Daddy Won't Sell The Farm,Montgomery Gentry,Country,1,87.0
274,You Won't Be Lonely Now,"Cyrus, Billy Ray",Country,1,97.0
275,Meanwhile Back At The Ranch,Clark Family Experience,Country,1,87.0
276,Summer Rain,"Thomas, Carl",Rock,1,82.0
277,Real Live Woman,"Yearwood, Trisha",Country,1,85.0
278,Shut Up,Trick Daddy,Rap,1,99.0
279,Straight Up,"Moore, Chante",Rock,1,98.0
280,What Means The World To You,Cam'ron,Rap,1,94.0
281,U Understand,Juvenile,Rap,1,85.0
282,Can't Stay,"Hollister, Dave",Rock,1,84.0
283,Can't Go For That,Tamia,Rock,1,90.0
284,West Side Story,LFO,Rock,1,96.0
285,Me Neither,"Paisley, Brad",Country,1,87.0
286,Take That,"Carter, Torrey",Rock,1,94.0
287,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Ge+her,R&B,1,91.0
288,Don't Call Me Baby,Madison Avenue,Electronica,1,98.0
289,Got It All,Eve,Rap,1,89.0
290,Re-Arranged,Limp Bizkit,Rock,1,91.0
291,Still In My Heart,"Spencer, Tracie",Rock,1,95.0
292,3 Little Words,Nu Flavor,R&B,1,97.0
293,If You Don't Wanna Love Me,Tamar,Rock,1,98.0
294,Baby U Are,"Levert, Gerald",R&B,1,96.0
295,L.A. Song,"Hart, Beth",Country,1,99.0
296,The Quittin' Kind,"Diffie, Joe",Country,1,98.0
297,Do You,Funkmaster Flex,Rap,1,92.0
298,Love Sets You Free,"Price, Kelly",Rock,1,92.0
299,Riddle,En Vogue,Rock,1,92.0
300,No Mercy,"Herndon, Ty",Country,1,100.0
301,I'm Outta Love,Anastacia,Pop,1,92.0
302,Pull Over,Trina,Rap,1,97.0
303,Ta Da,Lil' Mo,Rap,1,100.0
304,Dancing Queen,A*Teens,Pop,1,97.0
305,Where I Wanna Be,"Sheist, Shade",Rap,1,96.0
306,All Good?,De La Soul,Rap,1,96.0
307,Get Up,"Larrieux, Amel",R&B,1,100.0
308,Spanish Guitar,"Braxton, Toni",Rock,1,98.0
309,I Know,Tuesday,Rock,1,98.0
310,Imagine That,LL Cool J,Rap,1,99.0
311,Souljas,Master P,Rap,1,98.0
312,Cherchez LaGhost,Ghostface Killah,R&B,1,98.0
313,Freakin' It,"Smith, Will",Rap,1,99.0
314,Kernkraft 400,Zombie Nation,Rock,1,99.0
315,Got Beef,"Eastsidaz, The",Rap,1,99.0
316,Toca's Miracle,Fragma,R&B,1,99.0
317,Independent Women Part I,Destiny's Child,Rock,2,63.0
318,"Maria, Maria",Santana,Rock,2,8.0
319,I Knew I Loved You,Savage Garden,Rock,2,48.0
320,Music,Madonna,Rock,2,23.0
321,Come On Over Baby (All I Want Is You),"Aguilera, Christina",Rock,2,47.0
322,Doesn't Really Matter,Janet,Rock,2,52.0
323,Say My Name,Destiny's Child,Rock,2,83.0
324,Be With You,"Iglesias, Enrique",Latin,2,45.0
325,Incomplete,Sisqo,Rock,2,66.0
326,Amazed,Lonestar,Country,2,54.0
327,It's Gonna Be Me,N'Sync,Rock,2,70.0
328,What A Girl Wants,"Aguilera, Christina",Rock,2,51.0
329,Everything You Want,Vertical Horizon,Rock,2,61.0
330,With Arms Wide Open,Creed,Rock,2,78.0
331,Try Again,Aaliyah,Rock,2,53.0
332,Bent,matchbox twenty,Rock,2,37.0
333,Thank God I Found You,"Carey, Mariah",Rock,2,68.0
334,Breathe,"Hill, Faith",Rap,2,68.0
335,Case Of The Ex (Whatcha Gonna Do),Mya,Rock,2,57.0
336,He Loves U Not,Dream,Rock,2,92.0
337,He Wasn't Man Enough,"Braxton, Toni",Rock,2,55.0
338,You Sang To Me,"Anthony, Marc",Latin,2,54.0
339,Give Me Just One Night (Una Noche),98¡,Rock,2,39.0
340,Jumpin' Jumpin',Destiny's Child,Rock,2,71.0
341,Kryptonite,3 Doors Down,Rock,2,70.0
342,Thong Song,Sisqo,Rock,2,63.0
343,I Turn To You,"Aguilera, Christina",Rock,2,39.0
344,My Love Is Your Love,"Houston, Whitney",Rock,2,68.0
345,I Wanna Know,Joe,Rock,2,86.0
346,Get It On.. Tonite,"Jordan, Montell",Rap,2,80.0
347,Bye Bye Bye,N'Sync,Rock,2,20.0
348,The Real Slim Shady,Eminem,Rap,2,32.0
349,Most Girls,Pink,Rock,2,70.0
350,Gotta Tell You,"Mumba, Samantha",Rock,2,72.0
351,Bring It All To Me,Blaque,Pop,2,63.0
352,Hot Boyz,"Elliott, Missy ""Misdemeanor""",Rap,2,21.0
353,I Try,"Gray, Macy",Rock,2,51.0
354,This I Promise You,N'Sync,Rock,2,31.0
355,No More,Ruff Endz,Rock,2,38.0
356,Show Me The Meaning Of Being Lonely,"Backstreet Boys, The",Rock,2,62.0
357,Absolutely (Story Of A Girl),Nine Days,Rock,2,71.0
358,That's The Way It Is,"Dion, Celine",Rock,2,68.0
359,All The Small Things,Blink-182,Rock,2,76.0
360,Blue (Da Ba Dee),Eiffel 65,Electronica,2,29.0
361,Bag Lady,"Badu, Erkyah",Rock,2,53.0
362,There U Go,Pink,Rock,2,15.0
363,Higher,Creed,Rock,2,77.0
364,(Hot S**t) Country Grammar,Nelly,Rap,2,99.0
365,Wifey,Next,Rock,2,61.0
366,Auld Lang Syne (The Millenium Mix),Kenny G,Jazz,2,89.0
367,It Feels So Good,Sonique,Rock,2,52.0
368,Oops!.. I Did It Again,"Spears, Britney",Rock,2,38.0
369,Shape Of My Heart,"Backstreet Boys, The",Rock,2,25.0
370,Wonderful,Everclear,Rock,2,69.0
371,Between Me And You,Ja Rule,Rap,2,74.0
372,I Need You,"Rimes, LeAnn",Country,2,68.0
373,Then The Morning Comes,Smash Mouth,Rock,2,59.0
374,I Just Wanna Love U (Give It 2 Me),Jay-Z,Rap,2,45.0
375,Let's Get Married,Jagged Edge,Rock,2,66.0
376,Take A Picture,Filter,Rock,2,74.0
377,She Bangs,"Martin, Ricky",Latin,2,28.0
378,Shake Ya Ass,Mystikal,Rap,2,90.0
379,Back Here,BBMak,Rock,2,86.0
380,From The Bottom Of My Broken Heart,"Spears, Britney",Rock,2,59.0
381,Never Let You Go,Third Eye Blind,Rock,2,32.0
382,Otherside,Red Hot Chili Peppers,Rock,2,72.0
383,Liar,Profyle,R&B,2,32.0
384,Pinch Me,Barenaked Ladies,Rock,2,76.0
385,He Can't Love U,Jagged Edge,Rock,2,32.0
386,Wobble Wobble,504 Boyz,Rap,2,34.0
387,Desert Rose,Sting,Rock,2,88.0
388,Big Pimpin',Jay-Z,Rap,2,52.0
389,Only God Knows Why,Kid Rock,Rock,2,47.0
390,Learn To Fly,Foo Fighters,Rock,2,69.0
391,Goodbye Earl,"Dixie Chicks, The",Country,2,29.0
392,Dancin',Guy,R&B,2,29.0
393,Bounce With Me,Lil Bow Wow,Rap,2,35.0
394,Swear It Again,Westlife,Rock,2,82.0
395,Meet Virginia,Train,Rock,2,67.0
396,I Wish,"Thomas, Carl",Rock,2,64.0
397,This Time Around,Hanson,Country,2,22.0
398,I Think I'm In Love With You,"Simpson, Jessica",Pop,2,52.0
399,What's Your Fantasy,Ludacris,Rap,2,83.0
400,Callin' Me,Lil' Zane,Rap,2,89.0
401,Don't Say You Love Me,M2M,Pop,2,53.0
402,Faded,SoulDecision,Rock,2,90.0
403,Yes!,"Brock, Chad",Country,2,77.0
404,Shake Your Bon-Bon,"Martin, Ricky",Latin,2,66.0
405,You're A God,Vertical Horizon,Rock,2,55.0
406,Separated,Avant,Rock,2,32.0
407,Big Deal,"Rimes, LeAnn",Country,2,52.0
408,Stay The Night,IMx,Rap,2,61.0
409,The Next Episode,Dr. Dre,Rap,2,67.0
410,Lucky,"Spears, Britney",Rock,2,41.0
411,Crash And Burn,Savage Garden,Rock,2,58.0
412,Don't Think I'm Not,Kandi,Rock,2,66.0
413,I Like It,Sammie,Rock,2,68.0
414,Broadway,Goo Goo Dolls,Rock,2,58.0
415,I Wanna Be With You,"Moore, Mandy",Pop,2,63.0
416,Forgot About Dre,Dr. Dre,Rap,2,55.0
417,Untitled (How Does It Feel),D'Angelo,R&B,2,56.0
418,That's The Way,"Messina, Jo Dee",Country,2,67.0
419,My First Love,Avant,Rock,2,62.0
420,A Puro Dolor (Purest Of Pain),Son By Four,Latin,2,80.0
421,What'Chu Like,Da Brat,Rap,2,65.0
422,Party Up (Up In Here),DMX,Rap,2,74.0
423,Cowboy Take Me Away,"Dixie Chicks, The",Country,2,72.0
424,My Next Thirty Years,"McGraw, Tim",Country,2,62.0
425,Best Of Intentions,"Tritt, Travis",Country,2,86.0
426,Better Off Alone,Alice Deejay,Electronica,2,65.0
427,Another Dumb Blonde,Hoku,Pop,2,49.0
428,I Learned From The Best,"Houston, Whitney",Rock,2,83.0
429,Hanginaround,Counting Crows,Rock,2,70.0
430,Shackles (Praise You),Mary Mary,Rock,2,76.0
431,Crybaby,"Carey, Mariah",Rock,2,34.0
432,My Best Friend,"McGraw, Tim",Country,2,76.0
433,Falls Apart,Sugar Ray,Rock,2,64.0
434,American Pie,Madonna,Rock,2,35.0
435,Where I Wanna Be,"Jones, Donell",Rock,2,71.0
436,We Danced,"Paisley, Brad",Country,2,68.0
437,What About Now,Lonestar,Country,2,72.0
438,The One,"Backstreet Boys, The",Rock,2,50.0
439,How Do You Like Me Now?!,"Keith, Toby",Country,2,72.0
440,The Best Day,"Strait, George",Country,2,64.0
441,Without You,"Dixie Chicks, The",Country,2,70.0
442,Just Friends (Sunny),Musiq,Rap,2,83.0
443,What Do You Say,"McEntire, Reba",Country,2,76.0
444,Just Be A Man About It,"Braxton, Toni",Rock,2,69.0
445,Rhythm Divine,"Iglesias, Enrique",Latin,2,84.0
446,I Will Love Again,"Fabian, Lara",Pop,2,80.0
447,It's My Life,Bon Jovi,Rock,2,58.0
448,Born To Fly,"Evans, Sara",Country,2,71.0
449,I Lost It,"Chesney, Kenny",Country,2,67.0
450,One Night Stand,J-Shin,R&B,2,96.0
451,Love Is Blind,Eve,Rap,2,91.0
452,I Don't Wanna,Aaliyah,Rock,2,62.0
453,The Little Girl,"Montgomery, John Michael",Country,2,67.0
454,Aaron's Party (Come Get It),"Carter, Aaron",R&B,2,75.0
455,Just Another Day In Paradise,"Vassar, Phil",Country,2,81.0
456,You Can Do It,Ice Cube,Rap,2,66.0
457,Back At One,"Wills, Mark",Country,2,55.0
458,Dance Tonight,Lucy Pearl,R&B,2,75.0
459,It Must Be Love,"Jackson, Alan",Country,2,74.0
460,She's More,"Griggs, Andy",Country,2,76.0
461,Simple Kind Of Life,No Doubt,Rock,2,40.0
462,911,"Jean, Wyclef",Rap,2,74.0
463,Prayin' For Daylight,Rascal Flatts,Country,2,78.0
464,Graduation (Friends Forever),Vitamin C,Rock,2,64.0
465,One Voice,"Gilman, Billy",Country,2,86.0
466,Smile,Lonestar,Country,2,80.0
467,Buy Me A Rose,"Rogers, Kenny",Country,2,72.0
468,Lessons Learned,"Lawrence, Tracy",Country,2,73.0
469,Go On,"Strait, George",Country,2,67.0
470,Got To Get It,Sisqo,Rock,2,76.0
471,Who Let The Dogs Out,Baha Men,R&B,2,92.0
472,The Chain Of Love,"Walker, Clay",Country,2,65.0
473,Love's The Only House,"McBride, Martina",Country,2,69.0
474,Sexual (Li Da Di),Amber,Rock,2,99.0
475,Kiss This,"Tippin, Aaron",Country,2,72.0
476,I Will.. But,SheDaisy,Country,2,74.0
477,Couldn't Last A Moment,"Raye, Collin",Country,2,85.0
478,Whoa!,Black Rob,Rap,2,59.0
479,Pop A Top,"Jackson, Alan",Country,2,73.0
480,Been There,"Black, Clint",Country,2,73.0
481,The Light,Common,Rap,2,55.0
482,Carlene,"Vassar, Phil",Country,2,67.0
483,www.memory,"Jackson, Alan",Country,2,59.0
484,The Itch,Vitamin C,Rock,2,48.0
485,G'D Up,"Eastsidaz, The",Rap,2,77.0
486,Whatever,Ideal,R&B,2,75.0
487,Emotional,"Thomas, Carl",Rock,2,63.0
488,None Of Ur Friends Business,Ginuwine,Rock,2,84.0
489,Unconditional,"Davidson, Clay",Country,2,97.0
490,What You Want,DMX,Rap,2,95.0
491,Someday Out Of The Blue,"John, Elton",Rock,2,56.0
492,Nothing As It Seems,Pearl Jam,Rock,2,70.0
493,The Best Of Me,Mya,Rock,2,70.0
494,Flowers On The Wall,"Heatherly, Eric",Country,2,88.0
495,Stan,Eminem,Rap,2,67.0
496,I'll Be,"McEntire, Reba",Country,2,79.0
