track,artist,Ranking
Cowboy Take Me Away,"Dixie Chicks, The",27.0
Crash And Burn,Savage Garden,24.0
Crybaby,"Carey, Mariah",28.0
Daddy Won't Sell The Farm,Montgomery Gentry,79.0
Dance Tonight,Lucy Pearl,36.0
Dancin',Guy,19.0
Dancing Queen,A*Teens,95.0
Dear Lie,TLC,51.0
Deck The Halls,SheDaisy,61.0
Deep Inside,"Blige, Mary J.",63.0
Deep Inside Of You,Third Eye Blind,69.0
Desert Rose,Sting,17.0
Do It Again (Put Ya Hands Up),Jay-Z,65.0
Do What You Gotta Do,"Brooks, Garth",69.0
Do You,Funkmaster Flex,91.0
Doesn't Really Matter,Janet,1.0
Don't Call Me Baby,Madison Avenue,88.0
Don't Say You Love Me,M2M,21.0
Don't Think I'm Not,Kandi,24.0
Emotional,"Thomas, Carl",47.0
Everything You Want,Vertical Horizon,1.0
Faded,SoulDecision,22.0
Falls Apart,Sugar Ray,29.0
Feelin' Good,"Lopez, Jennifer",51.0
Feels Like Love,"Gill, Vince",52.0
Flowers On The Wall,"Heatherly, Eric",50.0
Forgot About Dre,Dr. Dre,25.0
Freakin' It,"Smith, Will",99.0
From The Bottom Of My Broken Heart,"Spears, Britney",14.0
G'D Up,"Eastsidaz, The",47.0
Get It On.. Tonite,"Jordan, Montell",4.0
Get Up,"Larrieux, Amel",97.0
Girls Dem Sugar,Beenie Man,54.0
Give Me Just One Night (Una Noche),98¡,2.0
Give Me You,"Blige, Mary J.",68.0
Go On,"Strait, George",40.0
Goodbye Earl,"Dixie Chicks, The",19.0
Got Beef,"Eastsidaz, The",99.0
Got It All,Eve,88.0
Got To Get It,Sisqo,40.0
Gotta Tell You,"Mumba, Samantha",4.0
Graduation (Friends Forever),Vitamin C,38.0
Hanginaround,Counting Crows,28.0
He Can't Love U,Jagged Edge,15.0
He Loves U Not,Dream,2.0
He Wasn't Man Enough,"Braxton, Toni",2.0
Hey Papi,Jay-Z,76.0
Higher,Creed,7.0
Hot Boyz,"Elliott, Missy ""Misdemeanor""",5.0
How Do You Like Me Now?!,"Keith, Toby",31.0
How Many Licks?,Lil' Kim,75.0
I Belong To You,"Kravitz, Lenny",71.0
I Disappear,Metallica,76.0
I Don't Wanna,Aaliyah,35.0
I Don't Wanna Kiss You Goodnight,LFO,61.0
I Just Wanna Love U (Give It 2 Me),Jay-Z,11.0
I Knew I Loved You,Savage Garden,1.0
I Know,Tuesday,98.0
I Learned From The Best,"Houston, Whitney",27.0
I Like It,Sammie,24.0
I Lost It,"Chesney, Kenny",34.0
I Need A Hot Girl,Hot Boys,65.0
I Need You,"Rimes, LeAnn",11.0
I Think God Can Explain,Splender,62.0
I Think I'm In Love With You,"Simpson, Jessica",21.0
I Try,"Gray, Macy",5.0
I Turn To You,"Aguilera, Christina",3.0
I Wanna Be With You,"Moore, Mandy",24.0
I Wanna Know,Joe,4.0
I Will Love Again,"Fabian, Lara",32.0
I Will.. But,SheDaisy,43.0
I Wish,"Thomas, Carl",20.0
I'll Be,"McEntire, Reba",51.0
I'm Outta Love,Anastacia,92.0
If I Am,Nine Days,68.0
If You Don't Wanna Love Me,Tamar,89.0
Imagine That,LL Cool J,98.0
Incomplete,Sisqo,1.0
Independent Women Part I,Destiny's Child,1.0
It Feels So Good,Sonique,8.0
It Must Be Love,"Jackson, Alan",37.0
It Was,"Wright, Chely",64.0
It's Always Somethin',"Diffie, Joe",57.0
It's Gonna Be Me,N'Sync,1.0
It's My Life,Bon Jovi,33.0
It's So Hard,Big Punisher,75.0
Jumpin' Jumpin',Destiny's Child,3.0
Just Another Day In Paradise,"Vassar, Phil",35.0
Just Be A Man About It,"Braxton, Toni",32.0
Just Friends (Sunny),Musiq,31.0
Kernkraft 400,Zombie Nation,99.0
Kiss This,"Tippin, Aaron",42.0
Kryptonite,3 Doors Down,3.0
L.A. Song,"Hart, Beth",90.0
Last Resort,Papa Roach,57.0
Learn To Fly,Foo Fighters,19.0
Left & Right,D'Angelo,70.0
"Left, Right, Left",Drama,73.0
Lessons Learned,"Lawrence, Tracy",40.0
Let's Get Married,Jagged Edge,11.0
Let's Make Love,"Hill, Faith",54.0
Liar,Profyle,14.0
"Live, Laugh, Love","Walker, Clay",74.0
Loser,3 Doors Down,55.0
Love Is Blind,Eve,34.0
Love Sets You Free,"Price, Kelly",91.0
Love's The Only House,"McBride, Martina",42.0
Lucky,"Spears, Britney",23.0
"Maria, Maria",Santana,1.0
Me Neither,"Paisley, Brad",85.0
Meanwhile Back At The Ranch,Clark Family Experience,80.0
Meet Virginia,Train,20.0
Mirror Mirror,M2M,62.0
Monica,Before Dark,77.0
More,"Adkins, Trace",65.0
Most Girls,Pink,4.0
Mr. Too Damn Good,"Levert, Gerald",76.0
Music,Madonna,1.0
My Baby You,"Anthony, Marc",70.0
My Best Friend,"McGraw, Tim",29.0
My First Love,Avant,26.0
My Love Goes On And On,"Cagle, Chris",76.0
My Love Is Your Love,"Houston, Whitney",4.0
My Next Thirty Years,"McGraw, Tim",27.0
N 2 Gether Now,Limp Bizkit,73.0
Never Let You Go,Third Eye Blind,14.0
No Leaf Clover (Live),Metallica,74.0
No Matter What They Say,Lil' Kim,60.0
No Me Dejes De Querer,"Estefan, Gloria",77.0
No Mercy,"Herndon, Ty",92.0
No More,Ruff Endz,5.0
No More Rain (In This Cloud),"Stone, Angie",56.0
None Of Ur Friends Business,Ginuwine,48.0
Nothing As It Seems,Pearl Jam,49.0
One Night Stand,J-Shin,34.0
One Voice,"Gilman, Billy",38.0
Only God Knows Why,Kid Rock,19.0
Oops!.. I Did It Again,"Spears, Britney",9.0
Open My Heart,"Adams, Yolanda",57.0
Original Prankster,"Offspring, The",70.0
Otherside,Red Hot Chili Peppers,14.0
Party Up (Up In Here),DMX,27.0
Pinch Me,Barenaked Ladies,15.0
Pop A Top,"Jackson, Alan",43.0
Pop Ya Collar,Usher,60.0
Prayin' For Daylight,Rascal Flatts,38.0
Private Emotion,"Martin, Ricky",67.0
Pull Over,Trina,93.0
Put Your Hand In Mine,"Byrd, Tracy",76.0
Re-Arranged,Limp Bizkit,88.0
Real Live Woman,"Yearwood, Trisha",81.0
Rhythm Divine,"Iglesias, Enrique",32.0
Riddle,En Vogue,92.0
Rollin',Limp Bizkit,65.0
"Ryde or Die, Chick",Lox,73.0
"Same Script, Different Cast","Houston, Whitney",70.0
Say My Name,Destiny's Child,1.0
Separated,Avant,23.0
Sexual (Li Da Di),Amber,42.0
Shackles (Praise You),Mary Mary,28.0
Shake Ya Ass,Mystikal,13.0
Shake Your Bon-Bon,"Martin, Ricky",22.0
Shape Of My Heart,"Backstreet Boys, The",9.0
She Bangs,"Martin, Ricky",12.0
She's More,"Griggs, Andy",37.0
Show Me The Meaning Of Being Lonely,"Backstreet Boys, The",6.0
Shut Up,Trick Daddy,83.0
Simple Kind Of Life,No Doubt,38.0
Sleepwalker,"Wallflowers, The",73.0
Smile,Lonestar,39.0
Smoke Rings In The Dark,"Allan, Gary",76.0
Some Things Never Change,"McGraw, Tim",58.0
Someday Out Of The Blue,"John, Elton",49.0
Souljas,Master P,98.0
Sour Girl,Stone Temple Pilots,78.0
Spanish Guitar,"Braxton, Toni",98.0
Stan,Eminem,51.0
Stay Or Let It Go,"McKnight, Brian",76.0
Stay The Night,IMx,23.0
Still In My Heart,"Spencer, Tracie",88.0
Straight Up,"Moore, Chante",83.0
Summer Rain,"Thomas, Carl",80.0
Swear It Again,Westlife,20.0
Ta Da,Lil' Mo,95.0
Take A Picture,Filter,12.0
Take That,"Carter, Torrey",86.0
Taking You Home,"Henley, Don",58.0
Tha Block Is Hot,Lil Wayne,72.0
Thank God I Found You,"Carey, Mariah",1.0
That Other Woman,Changing Faces,64.0
That's The Kind Of Mood I'm In,"Loveless, Patty",71.0
That's The Way,"Messina, Jo Dee",25.0
That's The Way It Is,"Dion, Celine",6.0
That's What I'm Looking For,Da Brat,56.0
The Bad Touch,Bloodhound Gang,52.0
The Best Day,"Strait, George",31.0
The Best Man I Can Be,Ginuwine,77.0
The Best Of Me,Mya,50.0
The Chain Of Love,"Walker, Clay",40.0
The Great Beyond,R.E.M.,57.0
The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Ge+her,87.0
The Itch,Vitamin C,45.0
The Light,Common,44.0
The Little Girl,"Montgomery, John Michael",35.0
The Next Episode,Dr. Dre,23.0
The One,"Backstreet Boys, The",30.0
The Quittin' Kind,"Diffie, Joe",90.0
The Real Slim Shady,Eminem,4.0
The Rockafeller Skank,Fatboy Slim,76.0
The Way I Am,Eminem,58.0
Then The Morning Comes,Smash Mouth,11.0
There U Go,Pink,7.0
There You Are,"McBride, Martina",60.0
This I Promise You,N'Sync,5.0
This Time Around,Hanson,20.0
This Woman Needs,SheDaisy,57.0
Thong Song,Sisqo,3.0
Toca's Miracle,Fragma,99.0
Treat Her Like A Lady,Joe,63.0
Tricky Tricky ,"Bega, Lou",74.0
Try Again,Aaliyah,1.0
U Don't Love Me,Kumbia Kings,62.0
U Understand,Juvenile,83.0
Unconditional,"Davidson, Clay",49.0
Untitled (How Does It Feel),D'Angelo,25.0
We Danced,"Paisley, Brad",29.0
West Side Story,LFO,84.0
What A Girl Wants,"Aguilera, Christina",1.0
What About Now,Lonestar,30.0
What Do You Say,"McEntire, Reba",31.0
What I Need To Do,"Chesney, Kenny",56.0
What Means The World To You,Cam'ron,83.0
What You Want,DMX,49.0
What'Chu Like,Da Brat,26.0
What's My Name,DMX,67.0
What's Your Fantasy,Ludacris,21.0
Whatever,Ideal,47.0
When You Need My Love,"Worley, Darryl",75.0
Where I Wanna Be,"Jones, Donell",29.0
Where I Wanna Be,"Sheist, Shade",95.0
Where You Are,"Simpson, Jessica",62.0
Whistle While You Twurk,Ying Yang Twins,74.0
Who Let The Dogs Out,Baha Men,40.0
Whoa!,Black Rob,43.0
Wifey,Next,7.0
With Arms Wide Open,Creed,1.0
Without You,"Dixie Chicks, The",31.0
Wobble Wobble,504 Boyz,17.0
Wonderful,Everclear,11.0
Yes!,"Brock, Chad",22.0
You Can Do It,Ice Cube,35.0
You Owe Me,Nas,59.0
You Sang To Me,"Anthony, Marc",2.0
You Should've Told Me,"Price, Kelly",64.0
You Won't Be Lonely Now,"Cyrus, Billy Ray",80.0
You'll Always Be Loved By Me,Brooks & Dunn,55.0
You're A God,Vertical Horizon,23.0
Your Everything,"Urban, Keith",51.0
www.memory,"Jackson, Alan",45.0
